text,label
What’s the science of rainbows,medium
Design a robotic arm,advanced
Teach me about wine,medium
Model climate change effects,advanced
How do I tie a tie,medium
Debate quantum ethics,advanced
Predict economic trends,advanced
What’s the best phone to buy,medium
What’s the history of jazz,medium
Suggest a hobby for kids,medium
Develop a cryptography system,advanced
What’s a bird,simple
Do you know me,simple
What’s 10 times 2,simple
What caused the Big Bang,advanced
Suggest a gift for mom,medium
Analyze ancient philosophy,advanced
How do I train a puppy,medium
Design an AI ethics code,advanced
How old are you,simple
What’s the rules of soccer,medium
Explain particle physics,advanced
Design a space mission,advanced
What’s the moon,simple
Explain how vaccines work,medium
What’s the history of bread,medium
Explain DNA sequencing,advanced
Are we there yet,simple
What’s the smell like,simple
Good morning,simple
What’s the weather like,simple
How does Wi-Fi work,medium
Call mom,simple
Analyze historical revolutions,advanced
Say something nice,simple
What’s a good movie plot,medium
Explain superconductivity,advanced
How does recycling work,medium
Are you busy,simple
What’s impressionism art,medium
What’s the capital of France,simple
Model ecological systems,advanced
Teach me basic Spanish,medium
What’s the psychology of love,advanced
Analyze Shakespeare’s themes,advanced
What’s the temperature,simple
Debate universal basic income,advanced
How do I spell cat,simple
How do I boil water,simple
Plan a picnic day,medium
How do I fix a bike,medium
What’s the origin of language,advanced
Design a sustainable city,advanced
What’s the life of a bee,medium
Is it cold,simple
How do I make coffee,medium
Debate genetic engineering,advanced
What’s the plot of Hamlet,medium
Is the store open,simple
Can you explain gravity,medium
How do I grow tomatoes,medium
Explain the multiverse,advanced
Design a telemedicine platform,advanced
What day is it,simple
Explain ocean tides,medium
What’s a good workout,medium
What’s the time now,simple
Explain cosmic inflation,advanced
Develop a virtual reality world,advanced
What’s a dog,simple
Where’s the dog,simple
How loud is it,simple
Can you sing,simple
What’s on TV,simple
Explain gravitational waves,advanced
Analyze modern architecture,advanced
How high is that,simple
Explain game theory,advanced
Where’s my hat,simple
What’s the story of Rome,medium
How do I clean a laptop,medium
Can you dance,simple
Is this fun,simple
Break down relativity theory,advanced
Develop a machine learning app,advanced
Design a simple website,medium
Model a pandemic spread,advanced
Are you awake,simple
Design a water purification system,advanced
Plan a trip to Paris,medium
Play some music,simple
Can I have a cookie,simple
What’s my name,simple
How tall am I,simple
Do you see me,simple
Is it dark outside,simple
Explain chaos theory,advanced
Can I sleep now,simple
How do I fix a leaky faucet,medium
What’s the culture of Japan,medium
What color is the sky,simple
Model quantum computing,advanced
Debate free will,advanced
Predict geopolitical shifts,advanced
What’s for dinner,simple
Pick a color,simple
Hello there,simple
How far is it,simple
What’s a good book to read,medium
Explain how clocks work,medium
What’s a car,simple
What’s climate change,medium
Analyze existentialism,advanced
How do I invest money,medium
What’s photosynthesis,medium
Plan a family game night,medium
Debate ethics of AI,advanced
How do I take photos,medium
Design a fusion reactor,advanced
Design a self-driving car system,advanced
How do I sit,simple
What’s the score,simple
How do I make soap,medium
How does a car engine work,medium
Simulate galaxy formation,advanced
How big is a cat,simple
Explain dark matter,advanced
Explain string theory,advanced
Explain the water cycle,medium
Develop a renewable energy plan,advanced
What’s a healthy breakfast,medium
Teach me about dinosaurs,medium
What’s consciousness science,advanced
How hot is it,simple
Simulate a stock market,advanced
How do I start a blog,medium
Design an exoplanet explorer,advanced
Turn on the lights,simple
Do you like coffee,simple
What’s the role of bees,medium
Predict tech innovation,advanced
Analyze mental health trends,advanced
Where’s my phone,simple
How do I sew a button,medium
What’s the physics of time,advanced
Analyze quantum mechanics,advanced
Explain blockchain tech,advanced
Are we friends,simple
What’s a tree,simple
How’s the food,simple
Predict AI’s future role,advanced
How do I build a shelf,medium
What’s a mortgage,medium
How do I knit a scarf,medium
What’s the meaning of life,medium
Model planetary orbits,advanced
Analyze global trade impacts,advanced
Analyze postmodern literature,advanced
How do I write a poem,medium
Make a budget for me,medium
How do I bake a cake,medium
Is this loud,simple
How do I play chess,medium
Explain how sound works,medium
What’s my age,simple
What’s a balanced diet,medium
What’s your name,simple
Explain neural networks,advanced
How do I eat,simple
What’s the chemistry of stars,advanced
Analyze war strategy history,advanced
How’s your day,simple
Explain electricity basics,medium
Explain how planes fly,medium
Tell me a joke,simple
How do I paint a room,medium
How do I wave,simple
What’s 5 minus 3,simple
What’s 2 plus 2,simple
Analyze cultural evolution,advanced
What time is lunch,simple
What’s the sociology of power,advanced
What’s the anthropology of religion,advanced
Analyze Renaissance art,advanced
Teach me to draw a face,medium
Debate space colonization,advanced
What’s the history of dance,medium
How do I meditate,medium
What’s the history of tea,medium
What’s the biology of aging,advanced
How many days in a week,simple
Simulate brain functions,advanced
Where’s the bathroom,simple
Teach me about stars,medium
Is it raining,simple
Plan a date night,medium
How do black holes form,advanced
Explain the solar system,medium
Send a text,simple
